gene	logFC_DE_Calu3ser2_S1.12h_mock.12h	logCPM	PValue	FDR
IFNB1	9.14890877569688	3.45820720268497	6.84269596856647e-25	6.67094429975545e-21
TNFAIP3	2.22401959206382	4.90231334443332	6.37340395798686e-22	3.10671575932069e-18
PTX3	2.35447866852895	3.41019812987343	7.09157093476434e-20	2.30452416810059e-16
IFIT1	1.90899261940186	7.36280096005978	1.17274756900451e-19	2.85827901255625e-16
IFIT3	1.94829998374785	5.80503778290022	6.47104452393261e-18	1.26172426127638e-14
ATF3	2.10726386972156	5.50191029545402	1.84009572337683e-17	2.98984886786679e-14
CYP1A1	2.69652214830713	3.38753514021864	9.43804407879573e-17	1.31444988177399e-13
TNF	4.16257770840263	1.8833534313686	3.36125936313945e-16	4.09611469140581e-13
NFKBIA	1.45522889471708	6.65345759264183	2.58469007253993e-15	2.79979372413242e-12
CMPK2	1.708712267343	4.77022366903977	9.86302725729193e-14	9.61546527313391e-11
IFNL1	7.85408582414735	2.03101329467723	5.76810577041401e-13	5.11211483234238e-10
IL6	1.62125813630508	4.73452585081152	7.08871383415284e-13	5.75898926409633e-10
IFIT2	1.7620546557542	6.99710956629947	8.31900880010568e-13	6.2386166763254e-10
EGR2	2.08765224464561	2.34794472752562	1.56323689190961e-12	1.08857117565906e-09
MX2	2.14180505193929	4.59268337387952	2.07814076456645e-12	1.35065295425056e-09
CXCL2	1.38970427304348	4.9711325965626	9.62838765456862e-12	5.86669695277435e-09
IFNL2	7.79789754252152	2.44833056752811	1.95414411004777e-11	1.12064417228563e-08
RSAD2	1.61788695924582	5.76180609250949	2.22014111319422e-11	1.20245309514058e-08
OAS2	1.53448180795529	6.18743544575043	8.75865127704505e-11	4.49411006841643e-08
CCL2	3.19596013071111	1.29542530347234	2.32214735970033e-10	1.09343717459938e-07
CXCL10	2.85854076472487	3.07132273526824	2.3553370260116e-10	1.09343717459938e-07
DUSP1	1.17732550225263	5.3590441293935	4.71470760928258e-10	2.08925838558618e-07
XAF1	2.00724967527286	3.37910512426007	2.12633246892132e-09	9.01287619109302e-07
ZFP36	1.07379844995242	5.39325816248936	2.42067557542247e-09	9.8329859103307e-07
PPP1R15A	1.27364075224527	7.34580451049083	5.10100990371902e-09	1.98918982205427e-06
EGR1	1.03822972002021	5.47270216071718	7.13818692250744e-09	2.67239332525794e-06
IFI44L	1.36875459024214	5.2210945804111	7.401232924604e-09	2.67239332525794e-06
IL1A	1.19043026335322	3.55778737069948	3.27488857673137e-08	1.14024602623407e-05
CXCL11	2.79100186376941	2.24748353407266	5.71910295081636e-08	1.9226046437072e-05
IRF1	1.03986894341232	5.82943068820364	7.78074621414527e-08	2.52848316139008e-05
IFNL3	3.93320354260391	1.85713676699053	1.36197220837304e-07	4.28318292239638e-05
IRF9	0.872392319528726	5.49088942480135	1.51355942058719e-07	4.61115337228265e-05
MX1	1.29108781229326	7.05508154220323	1.9120456568903e-07	5.6486463966738e-05
USP18	1.16547737114432	4.87177092089887	2.37060959440405e-07	6.7973743928956e-05
OAS1	0.850560844623216	6.57308111885051	9.79186663905232e-07	0.000272745451040346
BCL3	0.922688873847547	3.85448995974692	1.00819967573544e-06	0.000273026073298466
BATF2	1.45946693279288	3.2380475745502	1.47689653925134e-06	0.000389142280031388
OASL	0.957269403379291	5.63111267798587	1.79018798668222e-06	0.00045927743900434
IFIH1	0.895941899333023	6.19064285360703	3.07160395648969e-06	0.000767822230046614
IRF7	0.667910611374636	6.24657694838583	3.68056704671036e-06	0.000897046203459483
TNFAIP2	0.938382780986394	5.48259759828378	4.40735983583167e-06	0.00104798417169568
RTP4	1.3229528976385	2.97242537840047	5.91369444071351e-06	0.00137268112148848
