gene	logFC_DE_Caco2_S2.24h_mock.24h	logCPM	PValue	FDR
AFP	-1.33685247676048	8.24448029084743	1.18185293820363e-240	1.3488487583718e-236
ARRDC3	3.31966487925358	7.03346594184064	1.25688108579844e-169	7.17239191610881e-166
JUN	2.4195025264005	8.52900397335215	4.04740273589711e-142	1.53976691415979e-138
EGR1	1.7853592836284	7.12243888297951	5.15182580982586e-92	1.27066008678176e-88
DUSP6	1.28023732594307	7.11963071522669	5.56672253912975e-92	1.27066008678176e-88
OAT	-0.862004044147208	6.26538262448745	7.61366306585032e-79	1.44824560950916e-75
HDAC9	1.52383240850105	6.65362108968137	1.94701604285495e-77	3.1744705853005e-74
MDM2	1.22708249569657	6.09818949813485	2.15260393883392e-74	3.07095859423895e-71
PLK2	1.40003781728213	6.47183463782445	5.90562107657505e-67	7.48898370521679e-64
ZNF844	2.27580187906227	2.83982768246921	1.28382047945952e-64	1.46522431320715e-61
IER3	1.48525648639319	7.55269656504579	1.32760873660354e-62	1.37745441007783e-59
JUNB	1.70489859998627	7.02887167987239	6.23321318570713e-61	5.92830517403962e-58
HIVEP2	1.95786697538829	5.79859599413722	1.85737818126591e-60	1.63063516790676e-57
ATF3	2.28833423449627	6.49035827399201	3.23037914482041e-58	2.6334512271311e-55
NUAK2	1.12923035031431	5.79481907924928	4.35165030880131e-58	3.31102566495663e-55
EPHA2	0.762448905255924	7.68546642582813	6.64983657332731e-58	4.74341155071154e-55
ANKRD1	0.873359494109669	6.76898502692399	2.14755600150747e-57	1.44176803795322e-54
VGF	1.77794855320936	4.40502415168327	8.68977685847972e-57	5.50980129365717e-54
PPP1R15A	1.40275101722739	9.90223610476489	5.67083275952792e-55	3.4063796991838e-52
SERINC5	-0.732363925359319	6.48992804986226	5.80797897151623e-53	3.31432320009574e-50
SERPINE1	1.96591460153753	4.93399904844443	4.32142219367024e-52	2.34859007125516e-49
KRT6A	2.21703027830937	2.39986086214394	1.70725801698792e-51	8.85678897631052e-49
LAMA1	-1.02315498021783	4.83953722891855	4.23585422193259e-51	2.1019045319529e-48
TTR	-0.973474289372797	6.51405736448471	1.17504563925237e-48	5.5878316169947e-46
AMACR	-0.655339456941152	5.39834113041934	1.14637217366137e-46	5.23341824719889e-44
SEPHS2	-0.709476951834078	6.47725797612199	2.26275166283365e-44	9.93260951073864e-42
FGG	-0.891945678702759	6.26123528080648	8.75633711044432e-44	3.701336127463e-41
FGB	-0.829774629155362	6.22325919897109	1.20399694532137e-43	4.90757754891172e-41
KLF6	1.14637801799029	8.19861446922746	5.80847070968634e-43	2.28593366240173e-40
AKAP12	1.51863037393625	7.4854813340291	7.70948976232308e-43	2.93294688857978e-40
IER2	1.02318191228075	6.97861842668845	1.80253422966618e-42	6.63623327844521e-40
DUSP5	1.38745518364175	5.68763129712778	3.87465229388621e-40	1.38191895719135e-37
FOSL1	1.25490803301596	6.97008180407746	8.92356584582569e-40	3.0862017272245e-37
IL11	1.92828789851941	3.86190338380593	5.74038568355757e-39	1.92691240607184e-36
ALDH1A1	-0.725589727919912	5.87687451736148	1.28972203246589e-37	4.20559930186662e-35
AHSG	-0.770572264614421	6.47729234712535	1.70933915416032e-37	5.41907993511993e-35
ZNF554	2.47105023353365	2.23403242860579	4.45920182362313e-37	1.37548298413543e-34
ITGA2	1.10739521468576	7.9320144546493	1.36830533659293e-36	4.10959705435133e-34
CTSV	-0.633600003180807	6.06948666462535	2.3350112087596e-36	6.83320075014701e-34
IGFBP4	1.01312253875098	7.23017387535778	3.75858861455092e-36	1.07241929644674e-33
SMIM14	-0.896665901080883	5.18037505879603	4.43508497739134e-36	1.23457621577969e-33
ZNF627	1.45277050725482	3.9606057460873	4.67432130802993e-36	1.27019116877489e-33
DUSP1	1.37084380166841	5.85820032073429	9.27177044585933e-36	2.46090037438587e-33
KLF10	1.12813668107068	6.03066775316258	1.03523396323523e-34	2.68525573236447e-32
MPC2	-0.600284264483754	6.09309736680795	1.2410437578906e-34	3.14756275751233e-32
HIVEP1	1.26356082201414	4.75229906677379	2.29591208784384e-34	5.69635753446995e-32
PARD6B	1.16156296535031	6.13037625880625	2.52507589071015e-34	6.13163641290956e-32
EDN1	0.800907324340387	5.9307132017368	5.52432855755075e-34	1.31352420473597e-31
GSTA2	-1.12264621512066	4.3211100661219	7.36751802204961e-34	1.71603026909494e-31
ITGA6	0.722351357041249	8.78181466998753	9.32788070179516e-33	2.12918204899176e-30
USH1C	-0.591114818996141	5.53714081126734	3.85548948862254e-32	8.62798069287237e-30
AGT	-0.75718549654113	5.61413035058033	1.61238015160409e-30	3.5388643596649e-28
SLCO2B1	-0.686100831506573	5.19080651303737	2.86357823318319e-30	6.16641856138108e-28
NR1D1	1.77354564983508	4.86541888982602	3.57934225601323e-30	7.5650061421998e-28
MYC	0.649310972044541	7.98013657666533	1.20120666937542e-29	2.49261303956029e-27
C1QTNF3-AMACR	-0.633468680337327	5.21008022269682	1.28442820195772e-29	2.61771054802561e-27
GLUL	-0.434373859648428	7.43717490295132	2.45572774422869e-29	4.91705627103193e-27
FABP1	-0.670004000009179	5.75571616084716	1.82678950797123e-28	3.59468080249581e-26
GSTA1	-1.11603646465741	4.6767417251595	3.56169436525311e-28	6.88976572722606e-26
CEBPA	-0.899248836747371	5.94271448758032	7.7031789212963e-28	1.46527301714591e-25
ANXA4	-0.635476504726566	9.26619211770409	8.35335278403306e-28	1.56289861187163e-25
ZBTB20	1.85385468141294	5.36326726218642	8.53308422176704e-28	1.5707756487585e-25
TXNIP	0.84553690586237	7.80814191833806	1.184058284758e-27	2.14502495300682e-25
ETS1	1.11878758162135	6.65759786282931	1.22993681926379e-27	2.19332326847775e-25
GJB1	-1.47629672914796	4.87113235296273	3.99507630043713e-27	7.01473935644446e-25
COL5A2	-0.536488108131509	6.21478178364074	5.93903100991461e-27	1.02700243812357e-24
GREM1	0.565351537052824	8.16556719613912	6.14155667033379e-27	1.04617292953014e-24
TSPAN8	-0.756839314866821	6.69983539376277	8.10000357340104e-27	1.35949030563568e-24
CDH17	-0.487800887312038	7.95453657389293	1.45723880036949e-26	2.41035745342276e-24
SLC26A2	-0.685802926210445	6.8016738592576	2.81450959501846e-26	4.58885685827796e-24
ELK3	1.77184960589493	4.57444407774079	2.95697257285439e-26	4.75322929211086e-24
TSC22D2	0.815267251419287	6.45235164294919	3.75385844075874e-26	5.95038699783048e-24
BIRC3	0.907165095276548	6.82462137215071	9.44934258203465e-26	1.47733351902413e-23
PER1	1.76595472283548	3.9277537036724	1.18996265476087e-25	1.83527618632241e-23
CXCL2	2.45889763076505	5.1423913442431	1.23612327076778e-25	1.88104998523636e-23
REEP6	-0.930744343087611	4.50405765863841	1.35576250637727e-25	2.03596282701102e-23
PHLDA1	0.585726500531846	8.10689045027568	2.32437817850365e-25	3.4398602267796e-23
CDX2	-0.659940137953652	4.59566108819065	2.35090771654087e-25	3.4398602267796e-23
YOD1	0.898085874642654	5.79865669814206	2.38450452590139e-25	3.44485444988766e-23
SERPINA1	-0.510101980324826	8.80331264236958	3.73758126251942e-25	5.33212686864177e-23
SUCO	0.697058012269879	6.82322886241036	7.05149418062842e-25	9.91726144885357e-23
ERRFI1	0.840934310177266	6.34348998540122	7.12534336989392e-25	9.91726144885357e-23
TPD52L1	-0.546365123097571	5.8605645744435	8.80867182773408e-25	1.21124544060156e-22
IDH1	-0.527610261867801	7.0715706078196	1.10260418292521e-24	1.49809780234827e-22
TF	-0.960280280442986	4.38924734359808	1.38880286259908e-24	1.86475377304039e-22
TIPARP	1.17156975412996	7.71258619853733	1.62788537621924e-24	2.16035532544072e-22
CCND1	0.589733151669819	9.3023609644482	5.8068211071496e-24	7.61761486159751e-22
ALB	-1.02059968416938	4.95963680037316	7.18668359246786e-24	9.32063861827678e-22
PLAU	1.48901609744416	8.60639682684326	7.36733455423664e-24	9.44757182780931e-22
UGT1A6	-0.450137154805656	8.22276928394637	2.50139339211074e-23	3.17204475379554e-21
GPC3	-0.453032096325423	7.28560519238984	2.56790059146089e-23	3.22059884069705e-21
CCNL1	0.785206555341324	7.2259696162459	2.80970532002292e-23	3.4855616105893e-21
UGDH	-0.424931245482988	7.38646835969401	3.32036140850646e-23	4.07476180164347e-21
SEPW1	1.09214213426276	6.19238442744006	3.6429599020665e-23	4.42309588960479e-21
AKR1C3	-0.917901440932078	5.80521257343958	1.14073708664058e-22	1.37044551261358e-20
C2orf72	-0.536234715626632	6.398023408633	1.38686578106704e-22	1.64878116242897e-20
ZNF292	1.11271025987575	6.31290361940947	1.61304442640518e-22	1.89790474624354e-20
PDZK1P1	-0.717292257284493	5.274277830707	1.77484023952419e-22	2.06696445445812e-20
PDZK1	-0.755969283280111	4.97248632300815	1.86774828725954e-22	2.15319305075688e-20
SPRY4	1.24632139962574	5.01641990020459	4.06484895850093e-22	4.63921211633711e-20
ERBB3	-0.746389528337658	6.13715169157032	5.96768936560733e-22	6.74348898313628e-20
SPRED1	0.765640947225004	5.62624394975228	7.30265518961292e-22	8.17109839990708e-20
PSAP	-0.349422442433423	9.62940819259682	8.37132982682824e-22	9.27592109840686e-20
UGT1A1	-0.463737890985705	7.79231893179502	1.5084697282084e-21	1.65540048154255e-19
NDRG1	-1.14430550375366	4.43659695381669	1.73862169044708e-21	1.88979898600691e-19
FOS	1.49304595813663	4.25159280157352	3.26927539748756e-21	3.52002265203071e-19
TNFAIP3	0.958602331079311	7.2496001853199	4.07118091362774e-21	4.34246614647041e-19
UGT1A3	-0.466138217428759	7.77193956005717	4.67760927395053e-21	4.9431069114442e-19
UGT1A9	-0.461055704426279	7.77922106124322	5.30415188826848e-21	5.5537876606246e-19
SETX	0.791515928990259	6.51519696397963	5.80137141431384e-21	6.01918654105126e-19
APOA1	-0.526757574336751	6.60167129112924	6.1913950464033e-21	6.36598123104512e-19
SFN	0.547818143251337	6.93307886491525	6.25431946762421e-21	6.37326322178528e-19
SLC39A5	-0.802623941407925	4.09449806308837	7.17166129348578e-21	7.24337790642064e-19
MFGE8	-0.454580001786502	6.97594818458708	1.03136474997273e-20	1.03254086767006e-18
UGT1A7	-0.461854378964376	7.76999062969448	1.05824989847273e-20	1.05024400793646e-18
LDLR	0.564581609965335	7.74600557674161	1.18250495234016e-20	1.16344215698778e-18
UGT1A5	-0.461133455839514	7.77051364115168	1.30711110372107e-20	1.27504778006569e-18
UGT1A4	-0.460901537104582	7.77041888576766	1.40836919001852e-20	1.36217945471876e-18
CYP1A1	1.08950663047482	6.73472370166038	2.05920320163118e-20	1.97493160842157e-18
UGT1A8	-0.461810486416474	7.77698899728867	2.69179156716754e-20	2.56011809634026e-18
AK4	-0.350127079400781	7.1678375991307	3.17917360345294e-20	2.99867011043045e-18
SLC2A1	0.482198496469306	9.20536132402387	3.6462478719474e-20	3.41103499692916e-18
PRR15L	-1.588485458607	3.29575493813538	5.71327478794806e-20	5.30126871177652e-18
TNFRSF21	0.44310468452895	8.37276185065222	6.83153106778542e-20	6.28776323198669e-18
PI3	-1.58177870005952	3.46242684187231	8.90393431220519e-20	8.12964818441582e-18
SGK223	0.626364087171638	6.42764377620333	9.39419827072462e-20	8.50920514791906e-18
GADD45A	0.625780438426642	6.29360024860433	1.31581795477581e-19	1.18247482817766e-17
UBASH3B	0.646740989845622	6.82605629309722	1.92376191049816e-19	1.71530427222777e-17
TRIB1	0.657111001661304	6.2167045154439	2.08344621128131e-19	1.84328462088013e-17
EMP1	0.882688062961073	6.53217588531406	2.24831705579159e-19	1.97384942751919e-17
FBXO2	-0.551839042999673	5.55882525393012	2.54601927586436e-19	2.21814641186564e-17
C1orf115	-0.930287713036947	3.68953002304436	2.63912966041595e-19	2.28184748593388e-17
SORL1	-0.524770878453837	5.52510124433376	3.10265693255469e-19	2.66245290009373e-17
CYR61	0.454624568008591	8.09496031398796	3.42728618798063e-19	2.91907591518081e-17
KREMEN1	-0.516994565567138	5.0901435636407	4.75284273629181e-19	4.01808845550358e-17
NIPSNAP1	-0.476737266979351	6.38137970589317	7.16957238817668e-19	6.01664188722504e-17
CREBRF	1.14387114880306	3.96476214947161	1.57112617184648e-18	1.30885131381634e-16
ZNF441	1.50901844963215	2.82812347758563	1.6619760369092e-18	1.37450235574237e-16
HEPH	-0.660469928168468	5.95252776399796	2.45464471750319e-18	2.00154875926156e-16
QPRT	-0.595953449800024	5.9811144819094	2.45524249799894e-18	2.00154875926156e-16
UGT1A10	-0.459937541336006	7.91526624971209	2.78133882603544e-18	2.25130638450656e-16
PALD1	1.02928615621159	3.16962415682554	3.11273444250168e-18	2.501805506498e-16
LRP2	-0.618686467460201	7.39095615590964	3.14408805044551e-18	2.50933405033109e-16
ETFB	-0.470759181276939	6.37865018117457	3.20375777023285e-18	2.53920051608802e-16
NEU1	-0.442328479192192	7.26086129468696	3.33067993338587e-18	2.62158966067124e-16
UGT2A3	-0.861052521467182	4.30943120130205	3.64432456207416e-18	2.84881344020222e-16
NFKBIA	0.890890445429425	7.82474846074939	4.98716894608576e-18	3.87201082868549e-16
GEM	1.09015439844472	3.61372287683773	7.95721310967088e-18	6.13619413653201e-16
HSD17B4	-0.418272307220398	7.26719768065004	1.13048708259246e-17	8.65922756619311e-16
RLF	0.720577978122165	5.41551562504779	1.2312846707712e-17	9.36843463167447e-16
MXD1	1.21717092916917	4.63724232464174	1.36583866685023e-17	1.03233885461998e-15
SYT1	0.635213332026885	4.62485702769428	2.4298325193964e-17	1.81706297480459e-15
DYRK1A	0.793363902245838	5.56183336067236	2.4366472506787e-17	1.81706297480459e-15
CSRNP1	0.96753784834721	5.61516922555419	2.45183298098578e-17	1.81706297480459e-15
ITGA3	0.867810374124766	9.09124046595354	2.83650122127442e-17	2.08857989925193e-15
APLP2	-0.252950806112105	9.73259245280332	3.26966438847088e-17	2.39209485036014e-15
SPATA2	0.616231175727493	5.30316613012121	3.57339463462201e-17	2.59765305509178e-15
LGALS3	-0.465776315303776	8.84189552432145	3.75749523822221e-17	2.71419576922975e-15
ST14	-0.314527551307058	8.31477241256832	5.33252727467952e-17	3.82768137018348e-15
SOCS2	0.460706063059224	6.06093479982758	6.37476752278235e-17	4.54720135859468e-15
PIGU	-0.456774239930728	5.73055789803471	6.78338356676712e-17	4.80861842531138e-15
BHLHE40	1.16642024764652	5.57435803528911	6.93109929742808e-17	4.88300223960165e-15
LIF	0.786684287993736	7.08501596631713	7.27240496651567e-17	5.09202195600266e-15
DUSP4	1.27550438912046	6.56715897584802	9.72996681809563e-17	6.77122629847106e-15
TMEM45B	-0.684340704889957	5.15758414466493	1.23184210115922e-16	8.50004881115033e-15
NAV3	0.935691786159005	4.57136970005348	1.23631657114777e-16	8.50004881115033e-15
FHL2	0.574175359181283	6.09439288191688	1.31342645368615e-16	8.9661260913097e-15
RHOB	0.6757600618619	7.70475532339021	1.31981878852189e-16	8.9661260913097e-15
B4GALNT2	-0.775839357933509	3.65927586248767	1.36608503102115e-16	9.22551979825109e-15
ZFP36L1	0.4676404857629	7.39267840016483	1.38946635649545e-16	9.3259819099126e-15
RSRC2	0.586021720565305	6.59745944740716	1.39730386979327e-16	9.3259819099126e-15
PHGDH	-0.483507061324016	6.05439322279149	1.64079752987288e-16	1.08874547723483e-14
EPS8L2	-0.616572921736115	7.17574457606311	1.82867637834819e-16	1.20639789052531e-14
SERPINF2	-1.32334922457774	2.41988986180595	2.04526746277036e-16	1.34153089382748e-14
HIST1H2BD	1.53086686277671	3.27077616133914	2.23947251196496e-16	1.46051998737463e-14
ZFP36	0.913811885528206	5.98810623011272	2.46162413263766e-16	1.596279331011e-14
GULP1	0.414323000296384	6.95681718721443	2.49622031328765e-16	1.60956849918373e-14
SLC40A1	-0.52223640580819	5.81607402057956	2.62854408840212e-16	1.6853693079176e-14
ZNF608	1.19877089788841	3.36934765593643	2.84008629272338e-16	1.81083267367888e-14
